,ram,ts
0,84,2018-11-20 00:01:22
1,86,2018-11-20 00:11:23
2,88,2018-11-20 00:21:24
3,89,2018-11-20 00:31:25
4,90,2018-11-20 00:41:25
5,81,2018-11-20 00:51:26
6,83,2018-11-20 01:01:26
7,85,2018-11-20 01:11:26
8,88,2018-11-20 01:21:27
9,89,2018-11-20 01:31:28
10,82,2018-11-20 01:41:28
11,86,2018-11-20 01:51:29
12,89,2018-11-20 02:01:29
13,92,2018-11-20 02:11:29
14,85,2018-11-20 02:21:30
15,88,2018-11-20 02:31:31
16,90,2018-11-20 02:41:31
17,82,2018-11-20 02:51:31
18,83,2018-11-20 03:01:32
19,85,2018-11-20 03:11:32
20,89,2018-11-20 03:21:33
21,91,2018-11-20 03:31:33
22,82,2018-11-20 03:41:34
23,84,2018-11-20 03:51:35
24,85,2018-11-20 04:01:35
25,87,2018-11-20 04:11:36
26,89,2018-11-20 04:21:37
27,90,2018-11-20 04:31:37
28,83,2018-11-20 04:41:37
29,85,2018-11-20 04:51:38
30,86,2018-11-20 05:01:39
31,86,2018-11-20 05:11:40
32,89,2018-11-20 05:21:41
33,86,2018-11-20 05:31:41
34,87,2018-11-20 05:41:42
35,88,2018-11-20 05:51:42
36,90,2018-11-20 06:01:44
37,91,2018-11-20 06:11:44
38,83,2018-11-20 06:21:45
39,82,2018-11-20 06:31:46
40,84,2018-11-20 06:41:47
41,85,2018-11-20 06:51:48
42,86,2018-11-20 07:01:48
43,87,2018-11-20 07:11:48
44,88,2018-11-20 07:21:49
45,90,2018-11-20 07:31:49
46,91,2018-11-20 07:41:50
47,81,2018-11-20 07:51:51
48,83,2018-11-20 08:01:51
49,85,2018-11-20 08:11:52
50,85,2018-11-20 08:21:52
51,86,2018-11-20 08:31:52
52,88,2018-11-20 08:41:53
53,89,2018-11-20 08:51:54
54,91,2018-11-20 09:01:54
55,84,2018-11-20 09:11:54
56,87,2018-11-20 09:21:55
57,88,2018-11-20 09:31:56
58,89,2018-11-20 09:41:57
59,90,2018-11-20 09:51:58
60,84,2018-11-20 10:01:59
61,84,2018-11-20 10:12:00
62,86,2018-11-20 10:22:00
63,89,2018-11-20 10:32:01
64,90,2018-11-20 10:42:02
65,91,2018-11-20 10:52:02
66,84,2018-11-20 11:02:02
67,87,2018-11-20 11:12:03
68,88,2018-11-20 11:22:03
69,90,2018-11-20 11:32:04
70,91,2018-11-20 11:42:04
71,85,2018-11-20 11:52:05
72,86,2018-11-20 12:02:05
73,89,2018-11-20 12:12:05
74,90,2018-11-20 12:22:06
75,84,2018-11-20 12:32:06
76,86,2018-11-20 12:42:06
77,87,2018-11-20 12:52:07
78,88,2018-11-20 13:02:08
79,90,2018-11-20 13:12:09
80,91,2018-11-20 13:22:09
81,85,2018-11-20 13:32:10
82,87,2018-11-20 13:42:10
83,88,2018-11-20 13:52:11
84,91,2018-11-20 14:02:12
85,85,2018-11-20 14:12:12
86,87,2018-11-20 14:22:13
87,88,2018-11-20 14:32:14
88,89,2018-11-20 14:42:15
89,92,2018-11-20 14:52:15
90,86,2018-11-20 15:02:15
91,87,2018-11-20 15:12:15
92,89,2018-11-20 15:22:16
93,90,2018-11-20 15:32:16
94,92,2018-11-20 15:42:17
95,86,2018-11-20 15:52:17
96,88,2018-11-20 16:02:18
97,90,2018-11-20 16:12:18
98,91,2018-11-20 16:22:18
99,86,2018-11-20 16:32:18
100,89,2018-11-20 16:42:18
101,91,2018-11-20 16:52:18
102,92,2018-11-20 17:02:19
103,85,2018-11-20 17:12:19
104,87,2018-11-20 17:22:20
105,89,2018-11-20 17:32:21
106,91,2018-11-20 17:42:21
107,86,2018-11-20 17:52:22
108,87,2018-11-20 18:02:22
109,88,2018-11-20 18:12:22
110,89,2018-11-20 18:22:23
111,92,2018-11-20 18:32:23
112,87,2018-11-20 18:42:23
113,88,2018-11-20 18:52:24
114,91,2018-11-20 19:02:25
115,91,2018-11-20 19:12:25
116,88,2018-11-20 19:22:26
117,88,2018-11-20 19:32:26
118,92,2018-11-20 19:42:27
119,87,2018-11-20 19:52:27
120,89,2018-11-20 20:02:28
121,90,2018-11-20 20:12:29
122,92,2018-11-20 20:22:29
123,87,2018-11-20 20:32:30
124,90,2018-11-20 20:42:30
125,90,2018-11-20 20:52:30
126,91,2018-11-20 21:02:30
127,87,2018-11-20 21:12:31
128,89,2018-11-20 21:22:32
129,92,2018-11-20 21:32:32
130,88,2018-11-20 21:42:32
131,91,2018-11-20 21:52:33
132,89,2018-11-20 22:02:33
133,88,2018-11-20 22:12:34
134,90,2018-11-20 22:22:35
135,89,2018-11-20 22:32:35
136,90,2018-11-20 22:42:36
137,89,2018-11-20 22:52:36
138,91,2018-11-20 23:02:36
139,88,2018-11-20 23:12:37
140,90,2018-11-20 23:22:37
141,87,2018-11-20 23:32:38
142,89,2018-11-20 23:42:38
143,91,2018-11-20 23:52:39
